Title,main_category,category,date,description
Python,Code,,2023-10-08,class ComplexClass n def __init__ self x n self x x n n def double_value self n return self x 2 n nc ComplexClass 5 nresult c double_value nprint result
Python,Code,,2023-10-08,def recursive_factorial n n if n 0 n return 1 n else n return n recursive_factorial n 1 n nresult recursive_factorial 5 nprint result
Python,Code,,2023-10-08,def mergeSort arr n if len arr 1 n return arr n middle len arr
Python,Code,,2023-10-08,def recursive_power base exponent n if exponent 0 n return 1 n elif exponent 2 0 n half_pow recursive_power bse exponent
Python,Code,,2023-10-08,class Student n def __init__ self name age n self name name n self age age n n def display self n print f Name self name Age self age n nstudent1 Student Alice 20 nstudent2 Student Bob 22 nstudent1 display nstudent2 display
Python,Code,,2023-10-08,def binarySearch arr target n left 0 n right len arr 1 n while left right n mid left right
Python,Code,,2023-10-08,class Rectangle n def __init__ self length width n self length length n self width width n n def area self n return self length self width n n def perimeter self n return 2 self length self width n nrectangle Rectangle 5 3 narea rectangle area nperimeter rectangle perimeter nprint f Area area Perimeter perimeter
Python,Code,,2023-10-08,def prime_factors n n factors n divisor 2 nn n while divisor n n if n divisor 0 n factors append divisor n n n divisor n else n divisor 1 n n return factors n nresult prime_factors 48 nprint Prime Factors result
Python,Code,,2023-10-08,def recursive_sum n n if n 1 n return 1 n else n return n recursive_sum n 1 n nresult recursive_sum 10 nprint result
Python,Code,,2023-10-08,def factorial n n if n 0 n return 1 n else n return n factorial n 1 n ndef binomial_coefficient n k n return factorial n
